date,release
2012-11-17,1
2013-01-24,2
2013-04-08,3
2013-05-06,4
2013-08-01,5
2013-08-09,6
2013-09-12,7
2013-10-01,8
2013-11-06,9
2013-12-05,10
2014-01-02,11
2014-02-13,12
2014-03-07,13
2014-04-03,14
2014-05-01,15
2014-06-05,16
2014-07-03,17
2014-08-07,18
2014-09-04,19
2014-10-03,20
2014-11-06,21
2014-12-04,22
2015-01-09,23
2015-02-05,24
2015-03-06,25
2015-04-02,26
2015-05-07,27
2015-06-08,28
2015-07-09,29
2015-08-06,30
2015-09-10,31
2015-10-01,32
2015-11-05,33
2015-12-03,34
2016-01-07,35
2016-02-04,36
2016-03-03,37
2016-04-12,38
2016-05-05,39
2016-06-02,40
2016-07-07,41
2016-08-04,42
2016-09-01,43
2016-10-06,44
2016-11-03,45
2016-12-01,46
2017-01-05,47
2017-02-02,48
2017-03-02,49
2017-04-06,50
2017-05-04,51
2017-06-01,52
2017-07-06,53
2017-08-03,54
2017-09-07,55
2017-10-06,56
2017-11-02,57
2017-12-07,58
2018-01-04,59
2018-02-01,60
2018-03-01,61
2018-04-06,62
2018-05-03,63
2018-06-07,64
2018-07-05,65
2018-08-02,66
2018-09-06,67
2018-10-04,68
2018-11-01,69
2018-12-06,70
2019-01-02,71
2019-02-06,72
2019-03-06,73
2019-04-03,74
