date,ensembl._stats._count,ensembl._version,ensembl.gene.str._stats._count,ensembl.list._stats._count,ensembl.list.gene.str._stats._count,ensembl.list.protein.list._stats._count,ensembl.list.protein.list.str._stats._count,ensembl.list.protein.str._stats._count,ensembl.list.transcript.list._stats._count,ensembl.list.transcript.list.str._stats._count,ensembl.list.transcript.str._stats._count,ensembl.list.translation.list._stats._count,ensembl.list.translation.list.protein.str._stats._count,ensembl.list.translation.list.rna.str._stats._count,ensembl.list.type_of_gene.str._stats._count,ensembl.protein.list._stats._count,ensembl.protein.list.str._stats._count,ensembl.protein.str._stats._count,ensembl.transcript.list._stats._count,ensembl.transcript.list.str._stats._count,ensembl.transcript.str._stats._count,ensembl.translation.list._stats._count,ensembl.translation.list.protein.str._stats._count,ensembl.translation.list.rna.str._stats._count,ensembl.type_of_gene.list._stats._count,ensembl.type_of_gene.list.str._stats._count,ensembl.type_of_gene.str._stats._count
20171112,1953266,90,3896570,6371,32348,10322,65934,19486,12080,103746,20268,32348,91876,91876,None,558331,2473026,2290744,624059,3125245,3272511,3896570,5906070,5906070,None,None,None
20171119,1953266,90,3896553,6373,32366,10340,65988,19482,12098,103800,20268,32366,91924,91924,None,557313,2468668,2288466,623321,3122113,3273232,3896553,5897156,5897156,None,None,None
20171126,1953264,90,3896543,6374,32208,10330,65955,19334,12088,103767,20120,32208,91669,91669,None,557116,2467714,2289056,623124,3121159,3273419,3896543,5897384,5897384,None,None,None
20171203,1953264,90,3896545,6377,32416,10336,65976,19540,12094,103788,20322,32416,91999,91999,None,556813,2466454,2291841,622821,3119899,3273724,3896545,5901694,5901694,None,None,None
20171211,1953264,90,3896553,6380,32342,10336,65973,19462,12094,103785,20248,32342,91879,91879,None,557792,2470658,2290280,623800,3124103,3272753,3896553,5902776,5902776,None,None,None
20171218,2272231,91,4534505,16939,83109,18956,102041,60953,20939,144115,62170,83109,182721,182721,83109,891698,4057534,2448697,957122,4713490,3577383,4534505,7984618,7984618,113456,343826,4421049
20171224,2272229,91,4534481,16910,82063,18946,101979,59915,20927,144074,61136,82063,181110,181110,82063,891093,4054926,2449430,956517,4710882,3577964,4534481,7983477,7983477,113456,343546,4421025
20171231,2272043,91,4534087,16944,82387,18974,102181,60209,20953,144228,61434,82387,181665,181665,82387,891951,4058646,2454588,956704,4711664,3577383,4534087,7997699,7997699,113456,342580,4420631
20180107,2272043,91,4534092,16941,82201,18952,102030,60045,20935,144116,61266,82201,181332,181332,82201,891784,4057978,2448932,957208,4713934,3576884,4534092,7985719,7985719,113456,341884,4420636
20180114,2272037,91,4534085,16927,82197,18944,101967,60049,20925,144032,61272,82197,181300,181300,82197,891406,4056310,2450969,956830,4712266,3577255,4534085,7988131,7988131,113456,344368,4420629
